label,pressure£¨bar£©,CH4,CO2,C2H6,C3H8,iC4,N2,H2S,nC4,Na(wt%),K(wt%),Ca(wt%),Mg(wt%),CL(wt%),NH4(wt%),temperature(K)
1,30.83,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,280.91
1,60.96,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,284.9
1,138.06,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,290.93
1,188.2,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,292.82
1,238.33,90.93,0,4.89,0,0,4.18,0,0,0,0,0,0,0,0,294.23
1,11.98,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,277.1
1,19.82,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,281.56
1,39.99,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,287.42
1,69.24,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,291.52
1,112.07,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,294.32
1,170.34,84.52,0,12.55,2.93,0,0,0,0,0,0,0,0,0,0,296.14
1,21.56,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,279.1
1,39.89,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,284.3
1,69.55,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,288.56
1,109.4,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,291.6
1,173.65,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,294.04
1,211.45,95.02,0,3.98,1,0,0,0,0,0,0,0,0,0,0,295.76
1,16.93,89.4,8.09,0,2.49,0,0.02,0,0,0,0,0,0,0,0,279.19
1,34.69,89.4,8.09,0,2.49,0,0.02,0,0,0,0,0,0,0,0,285.09
1,69.12,89.4,8.09,0,2.49,0,0.02,0,0,0,0,0,0,0,0,290.16
1,169.47,89.4,8.09,0,2.49,0,0.02,0,0,0,0,0,0,0,0,294.62
1,235.65,89.4,8.09,0,2.49,0,0.02,0,0,0,0,0,0,0,0,296.07
1,16.48,100,0,0,0,0,0,0,0,0,0,0,0,0,0,259.1
1,58.47,100,0,0,0,0,0,0,0,0,0,0,0,0,0,280.9
1,17.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,262.4
1,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,264.2
1,22.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,268.6
1,23.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,270.9
1,27.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,273.7
1,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,274.3
1,32.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,275.4
1,34.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,275.9
1,34.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,275.9
1,38.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,277.1
1,53.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,280.4
1,57.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,280.9
1,60.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,281.5
1,67.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,282.6
1,339.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,295.7
1,353,100,0,0,0,0,0,0,0,0,0,0,0,0,0,295.9
1,648.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,301
1,775,100,0,0,0,0,0,0,0,0,0,0,0,0,0,302
1,96.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.7
1,103.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,286.3
1,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,286.1
1,96.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.7
1,139.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,289
1,211.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,292.1
1,347.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,295.9
1,486.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,298.7
1,624,100,0,0,0,0,0,0,0,0,0,0,0,0,0,300.9
1,680.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,301.6
1,159,100,0,0,0,0,0,0,0,0,0,0,0,0,0,290.5
1,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,295.2
1,338,100,0,0,0,0,0,0,0,0,0,0,0,0,0,295.8
1,443,100,0,0,0,0,0,0,0,0,0,0,0,0,0,298.1
1,438,100,0,0,0,0,0,0,0,0,0,0,0,0,0,298.2
1,569,100,0,0,0,0,0,0,0,0,0,0,0,0,0,300.2
1,654,100,0,0,0,0,0,0,0,0,0,0,0,0,0,301.6
1,654,100,0,0,0,0,0,0,0,0,0,0,0,0,0,301.6
1,1108,100,0,0,0,0,0,0,0,0,0,0,0,0,0,306.7
1,1527,100,0,0,0,0,0,0,0,0,0,0,0,0,0,310.3
1,1873,100,0,0,0,0,0,0,0,0,0,0,0,0,0,312.7
1,2063,100,0,0,0,0,0,0,0,0,0,0,0,0,0,313.7
1,2239,100,0,0,0,0,0,0,0,0,0,0,0,0,0,314.2
1,2375,100,0,0,0,0,0,0,0,0,0,0,0,0,0,315.1
1,2717,100,0,0,0,0,0,0,0,0,0,0,0,0,0,316.8
1,3197,100,0,0,0,0,0,0,0,0,0,0,0,0,0,318.3
1,3678,100,0,0,0,0,0,0,0,0,0,0,0,0,0,319.6
1,3970,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.1
1,26.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,273.2
1,41.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,277.6
1,55.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,280.4
1,86.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,284.7
1,116.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,287.3
1,140.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,288.9
1,201.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,291.7
1,285.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,294.3
1,71,100,0,0,0,0,0,0,0,0,0,0,0,0,0,283.2
1,71.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,283.2
1,131.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,288.7
1,131.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,288.7
1,36.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,276.7
1,43.85,100,0,0,0,0,0,0,0,0,0,0,0,0,0,278.6
1,91.91,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.4
1,169.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,290.7
1,185.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,291.2
1,26.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,273.3
1,33.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,275.4
1,33.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,276
1,50.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,279.5
1,60.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,281.3
1,70.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,282.8
1,80.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,284
1,33.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,276.2
1,45,100,0,0,0,0,0,0,0,0,0,0,0,0,0,278.2
1,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,279.2
1,61,100,0,0,0,0,0,0,0,0,0,0,0,0,0,281.2
1,30.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,274.6
1,37.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,276.7
1,43.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,278.3
1,50.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,279.6
1,57.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,280.9
1,66.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,282.3
1,75.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,283.6
1,85.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,284.7
1,91.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.7
1,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,287
1,370,100,0,0,0,0,0,0,0,0,0,0,0,0,0,296.6
1,590,100,0,0,0,0,0,0,0,0,0,0,0,0,0,300.8
1,840,100,0,0,0,0,0,0,0,0,0,0,0,0,0,303.6
1,1330,100,0,0,0,0,0,0,0,0,0,0,0,0,0,308.6
1,1620,100,0,0,0,0,0,0,0,0,0,0,0,0,0,310.6
1,1660,100,0,0,0,0,0,0,0,0,0,0,0,0,0,311
1,2160,100,0,0,0,0,0,0,0,0,0,0,0,0,0,313.8
1,2420,100,0,0,0,0,0,0,0,0,0,0,0,0,0,315.6
1,3170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,318.4
1,3580,100,0,0,0,0,0,0,0,0,0,0,0,0,0,319
1,4050,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320
1,4430,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.4
1,4500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.4
1,4670,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.8
1,5060,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.8
1,5360,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.9
1,5480,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.9
1,5800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.8
1,5900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.8
1,6000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.6
1,6310,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.2
1,6420,100,0,0,0,0,0,0,0,0,0,0,0,0,0,321.8
1,7070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,322.8
1,7340,100,0,0,0,0,0,0,0,0,0,0,0,0,0,319
1,7490,100,0,0,0,0,0,0,0,0,0,0,0,0,0,318.6
1,7840,100,0,0,0,0,0,0,0,0,0,0,0,0,0,318.2
1,7860,100,0,0,0,0,0,0,0,0,0,0,0,0,0,325.2
1,8140,100,0,0,0,0,0,0,0,0,0,0,0,0,0,325.4
1,8160,100,0,0,0,0,0,0,0,0,0,0,0,0,0,316.8
1,8400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,325.2
1,8640,100,0,0,0,0,0,0,0,0,0,0,0,0,0,325.6
1,8740,100,0,0,0,0,0,0,0,0,0,0,0,0,0,326.6
1,9560,100,0,0,0,0,0,0,0,0,0,0,0,0,0,326.4
1,9830,100,0,0,0,0,0,0,0,0,0,0,0,0,0,326.6
1,10000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,326.8
1,980,100,0,0,0,0,0,0,0,0,0,0,0,0,0,305.08
1,1190,100,0,0,0,0,0,0,0,0,0,0,0,0,0,307.13
1,1380,100,0,0,0,0,0,0,0,0,0,0,0,0,0,308.74
1,1580,100,0,0,0,0,0,0,0,0,0,0,0,0,0,310.29
1,1780,100,0,0,0,0,0,0,0,0,0,0,0,0,0,311.64
1,1990,100,0,0,0,0,0,0,0,0,0,0,0,0,0,312.92
1,2170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,313.88
1,2370,100,0,0,0,0,0,0,0,0,0,0,0,0,0,314.83
1,2580,100,0,0,0,0,0,0,0,0,0,0,0,0,0,315.74
1,2770,100,0,0,0,0,0,0,0,0,0,0,0,0,0,316.5
1,2990,100,0,0,0,0,0,0,0,0,0,0,0,0,0,317.2
1,3350,100,0,0,0,0,0,0,0,0,0,0,0,0,0,318.29
1,3760,100,0,0,0,0,0,0,0,0,0,0,0,0,0,319.17
1,4140,100,0,0,0,0,0,0,0,0,0,0,0,0,0,319.8
1,4550,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.33
1,4930,100,0,0,0,0,0,0,0,0,0,0,0,0,0,320.54
1,29.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,274.25
1,32.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,275.25
1,35.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,276.22
1,39.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,277.24
1,43.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,278.24
1,47.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,279.23
1,58.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,281.24
1,62,100,0,0,0,0,0,0,0,0,0,0,0,0,0,281.73
1,65.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,282.23
1,68.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,282.73
1,72.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,283.25
1,76.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,283.74
1,81,100,0,0,0,0,0,0,0,0,0,0,0,0,0,284.26
1,85.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,284.76
1,90.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.25
1,95.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.78
1,54.26,100,0,0,0,0,0,0,0,0,0,0,0,0,0,280.5
1,75.84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,283.7
1,95.84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,285.7
1,103.24,100,0,0,0,0,0,0,0,0,0,0,0,0,0,286.4
1,30.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,274.6
1,34.46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,276.2
1,172.57,100,0,0,0,0,0,0,0,0,0,0,0,0,0,290.6
1,258.41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,293.6
1,345.84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,295.8
1,478.63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,298.3
1,5.1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,273.7
1,5.03,0,0,100,0,0,0,0,0,0,0,0,0,0,0,273.7
1,5.79,0,0,100,0,0,0,0,0,0,0,0,0,0,0,274.8
1,8.14,0,0,100,0,0,0,0,0,0,0,0,0,0,0,277.6
1,9.31,0,0,100,0,0,0,0,0,0,0,0,0,0,0,278.7
1,9.31,0,0,100,0,0,0,0,0,0,0,0,0,0,0,278.7
1,10.07,0,0,100,0,0,0,0,0,0,0,0,0,0,0,279.3
1,10.83,0,0,100,0,0,0,0,0,0,0,0,0,0,0,279.8
1,11.65,0,0,100,0,0,0,0,0,0,0,0,0,0,0,280.4
1,11.65,0,0,100,0,0,0,0,0,0,0,0,0,0,0,280.4
1,12.55,0,0,100,0,0,0,0,0,0,0,0,0,0,0,280.9
1,13.45,0,0,100,0,0,0,0,0,0,0,0,0,0,0,281.5
1,14.48,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282.1
1,15.58,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282.6
1,16.89,0,0,100,0,0,0,0,0,0,0,0,0,0,0,283.2
1,19.86,0,0,100,0,0,0,0,0,0,0,0,0,0,0,284.3
1,23.03,0,0,100,0,0,0,0,0,0,0,0,0,0,0,285.4
1,23.1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,285.4
1,9.72,0,0,100,0,0,0,0,0,0,0,0,0,0,0,279.9
1,16.66,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282.8
1,32.98,0,0,100,0,0,0,0,0,0,0,0,0,0,0,287.4
1,8.14,0,0,100,0,0,0,0,0,0,0,0,0,0,0,277.6
1,8.23,0,0,100,0,0,0,0,0,0,0,0,0,0,0,277.7
1,15.51,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282.5
1,7.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,277.5
1,10.4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,279.9
1,13.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,281.5
1,16.6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,283.3
1,21,0,0,100,0,0,0,0,0,0,0,0,0,0,0,284.5
1,26.2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,286.5
1,11.4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,280.2
1,11.45,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282
1,12.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,281.1
1,25.1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,286
1,26,0,0,100,0,0,0,0,0,0,0,0,0,0,0,286.5
1,33.6,0,0,100,0,0,0,0,0,0,0,0,0,0,0,288.2
1,8.48,0,0,100,0,0,0,0,0,0,0,0,0,0,0,277.8
1,9.45,0,0,100,0,0,0,0,0,0,0,0,0,0,0,278.6
1,10.55,0,0,100,0,0,0,0,0,0,0,0,0,0,0,279.4
1,12,0,0,100,0,0,0,0,0,0,0,0,0,0,0,280.4
1,13.65,0,0,100,0,0,0,0,0,0,0,0,0,0,0,281.5
1,15.1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282.1
1,15.51,0,0,100,0,0,0,0,0,0,0,0,0,0,0,282.3
1,18.89,0,0,100,0,0,0,0,0,0,0,0,0,0,0,284
1,24.61,0,0,100,0,0,0,0,0,0,0,0,0,0,0,285.9
1,30.82,0,0,100,0,0,0,0,0,0,0,0,0,0,0,287.2
1,1.72,0,0,0,100,0,0,0,0,0,0,0,0,0,0,273.4
1,1.76,0,0,0,100,0,0,0,0,0,0,0,0,0,0,273.5
1,1.86,0,0,0,100,0,0,0,0,0,0,0,0,0,0,273.7
1,1.9,0,0,0,100,0,0,0,0,0,0,0,0,0,0,273.9
1,3.9,0,0,0,100,0,0,0,0,0,0,0,0,0,0,277.1
1,3.93,0,0,0,100,0,0,0,0,0,0,0,0,0,0,277.2
1,4.59,0,0,0,100,0,0,0,0,0,0,0,0,0,0,277.8
1,1.83,0,0,0,100,0,0,0,0,0,0,0,0,0,0,273.7
1,2.32,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.8
1,2.7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,275.4
1,3.01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,275.9
1,2.41,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.3
1,3.05,0,0,0,100,0,0,0,0,0,0,0,0,0,0,275.7
1,4.14,0,0,0,100,0,0,0,0,0,0,0,0,0,0,277.2
1,2.07,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.3
1,2.41,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.8
1,3.31,0,0,0,100,0,0,0,0,0,0,0,0,0,0,276.4
1,4.55,0,0,0,100,0,0,0,0,0,0,0,0,0,0,277.8
1,5.52,0,0,0,100,0,0,0,0,0,0,0,0,0,0,278.9
1,2.07,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.2
1,2.32,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.6
1,2.39,0,0,0,100,0,0,0,0,0,0,0,0,0,0,274.8
